,,,"жёлтым выделяем ТОЛЬКО то, что изменилось в этом файле по сравнению с предыдущим. Перед этим все старые выделения убираем!",,,,,,,,,,,,,,,,
,,,Удалена ,,,,,,,,,,,,,,,,
,79255254541 Федор ,,свободный для новых вм,,,,,,,,,,,,,,,,
,,,"не совпадало с ВМ  или отсутвовал в файле( вм жива и работает), Выставленно ральное значение  ",,,,,,,,,,,,,,,,
,,,временные из бекапа ,,,,,,,,,,,,,,,,
,,,Шлюз по умолчанию  10.20.42.23 для новых вм,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Имя севера (VM),vCPU,RAM,SSD C,SSD E,SSD Суммарно,HDD,,Цена с НДС,# IP,IP-внутр,IP-public,Ссылка на Grafana,Среднее потребленее CPU за 7 дней,Сервисы,Описание сервиса,Кто владеет,К удалению,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,10.20.42.1,,,,,,,,зачем нужна эта пустая строчка?
,14201_win22_AD,2,32,40,,40,,,3 480,,10.20.42.2,,https://grafana.ics-it.ru/d/000000014/windows-node?orgId=1&from=now-7d&to=now&var-server=ad1.devops.ics.local&var-cpumode=dpc,"3,17%",AD replica 1,,DO,,
,14202_win2022_AD,2,4,80,,80,,,1 560,,10.20.42.3,,https://grafana.ics-it.ru/d/000000014/windows-node?orgId=1&from=now-7d&to=now&var-server=ad2.devops.ics.local&var-cpumode=dpc,"5,43%",AD replica 2,,DO,,
,14203_ubuntu2204_node07,2,4,650,,650,,,6 120,,10.20.42.4,,, ,Kubernetes01 node7,Kubernetes,DO,,
,14204_ubuntu2204_node08,2,4,650,,650,,,6 120,,10.20.42.5,,,,Kubernetes01 node8,Kubernetes,DO,,
,14205_ubuntu2204_node09,2,4,650,,650,,,6 120,,10.20.42.6,,,,Kubernetes01 node9,Kubernetes,DO,,
,14206_ubuntu2204_node06,2,4,650,,650,,,6 120,,10.20.42.7,,,,Kubernetes01 node6,Kubernetes,DO,,
5 Ghz,14207_win22,4,16,100,600,700,,,10 960,,10.20.42.8,,https://grafana.ics-it.ru/d/000000014/windows-node?orgId=1&from=now-7d&to=now&var-server=unipharm-cardio.sellout.ics.local&var-cpumode=dpc,"5,76%",SO Unipharm,,SO Unipharm,,
,14208_ubuntu,8,32,256,,256,,,7 008,,10.20.42.9,,,,modules dev OpenRootService,Оптимизация маршрутов на карте для пилотов,MOD,,это уже в МЛ передать?
,14209_win2016r2_Stage_MDTC_Dev,2,8,170,700,870,,,8 200,,10.20.42.10,,Не пингуется,,,,,,
,142101_ubuntu2204_k8s01_mng01,4,4,40,,40,,,1 840,,10.20.42.102,,https://grafana.ics-it.ru/d/ov0oEgdik/linux-hosts-metrics?orgId=1&from=now-7d&to=now&var-host=mgr1.kubernetes01.ics.local:9100&var-job=devops-nodeexporter-kubernetes01,"52,80%",Kubernetes01 manager 1,Kubernetes,DO,,
,142102_ubuntu2204_k8s01_mng02,4,4,40,,40,,,1 840,,10.20.42.103,,https://grafana.ics-it.ru/d/ov0oEgdik/linux-hosts-metrics?orgId=1&from=now-7d&to=now&var-host=mgr2.kubernetes01.ics.local:9100&var-job=devops-nodeexporter-kubernetes01,"42,00%",Kubernetes02 manager 2,Kubernetes,DO,,
,142103_ubuntu2204_k8s01_mng03,4,4,40,,40,,,1 840,,10.20.42.104,,https://grafana.ics-it.ru/d/ov0oEgdik/linux-hosts-metrics?orgId=1&from=now-7d&to=now&var-host=mgr3.kubernetes01.ics.local:9100&var-job=devops-nodeexporter-kubernetes01,"56,90%",Kubernetes03 manager 3,Kubernetes,DO,,
