Time;__name__;instance;ip;job;name;os;server;server_name;team;target_ip;Value #A
2026-01-13 14:22:28.094;up;account.intc.ics.local:9182;10.20.42.71;windows-exporter-int-c;account.intc;Windows;vm14270;account.intc.ics.local;int-c;;1
2026-01-13 14:22:28.094;up;ad1.devops.ics.local:9182;10.20.42.2;windows-exporter-devops;ad1;Windows;vm14201;ad1.devops.ics.local;devops;;1
2026-01-13 14:22:28.094;up;ad2.devops.ics.local:9182;10.20.42.3;windows-exporter-devops;ad2;Windows;vm14202;ad2.devops.ics.local;devops;;1
2026-01-13 14:22:28.094;up;adfs1.devops.ics.local:9182;10.20.42.83;windows-exporter-devops;adfs1;Windows;vm14282;adfs1.devops.ics.local;devops;;1
2026-01-13 14:22:28.094;up;adfs2.devops.ics.local:9182;10.20.42.26;windows-exporter-devops;adfs2;Windows;vm14225;adfs2.devops.ics.local;devops;;1
2026-01-13 14:22:28.094;up;andrey-home-pc.ics.local:9182;172.16.0.4;andrey-windowsexporter;andrey-home-pc;Windows;andrey-home-pc;andrey-home-pc.ics.local;andrey;andrey-home-pc.ics.local;0
2026-01-13 14:22:28.094;up;angie1.ics.local:9100;10.20.42.36;devops-nodeexporter-linux;angie1;;angie1;angie1.ics.local;devops;;1
2026-01-13 14:22:28.094;up;data-quality.mod.ics.local:9182;10.20.42.66;windows-exporter-mod;data-quality.mod;Windows;vm14265;data-quality.mod.ics.local;mod;;1
2026-01-13 14:22:28.094;up;database-backup.devops.ics.local:9100;10.20.42.64;devops-nodeexporter-linux;database-backup;;vm14296;database-backup.devops.ics.local;devops;;1
2026-01-13 14:22:28.094;up;densply-sirona.intnsa.ics.local:9182;10.20.42.27;windows-exporter-intnsa;densply-sirona;Windows;vm14226;densply-sirona.intnsa.ics.local;int-nsa;;1
2026-01-13 14:22:28.094;up;dev-zambon.intc.ics.local:9182;10.20.42.45;windows-exporter-int-c;dev-zambon;Windows;vm14244;dev-zambon.intc.ics.local;int-c;;1
2026-01-13 14:22:28.094;up;dev.inta.ics.local:9182;10.20.42.67;windows-exporter-int-a;dev.inta;Windows;vm14266;dev.inta.ics.local;int-a;;1
2026-01-13 14:22:28.094;up;dev.intc.ics.local:9182;10.20.42.91;windows-exporter-int-c;dev.intc;Windows;vm14290;dev.intc.ics.local;int-c;;1
2026-01-13 14:22:28.094;up;dev.intnsa.ics.local:9182;10.20.42.90;windows-exporter-intnsa;dev.intnsa;Windows;vm14289;dev.intnsa.ics.local;int-nsa;;1
2026-01-13 14:22:28.094;up;dev.mod.ics.local:9182;10.20.42.81;windows-exporter-mod;dev.mod;Windows;vm14280;dev.mod.ics.local;mod;;1
2026-01-13 14:22:28.094;up;dev.quiz.ics.local:9182;10.20.42.32;windows-exporter-quiz;dev.quiz;Windows;vm14231;dev.quiz.ics.local;quiz;;1
2026-01-13 14:22:28.094;up;education.intc.ics.local:9182;10.20.42.88;windows-exporter-int-c;education.intc;Windows;vm14287;education.intc.ics.local;int-c;;1
2026-01-13 14:22:28.094;up;elastic.devops.ics.local:9100;10.20.42.84;devops-nodeexporter-linux;elastic;;vm14283;elastic.devops.ics.local;devops;;1
2026-01-13 14:22:28.094;up;ftp.sellout.ics.local:9100;10.20.42.86;windows-exporter-sellout;ftp.sellout;Windows;vm14285;ftp.sellout.ics.local;sellout;;1
2026-01-13 14:22:28.094;up;general-runner.devops.ics.local:9100;10.20.42.44;devops-nodeexporter-linux;general-runner;;vm14243;general-runner.devops.ics.local;devops;;1
2026-01-13 14:22:28.094;up;gitlab.devops.ics.local:9100;10.20.42.35;devops-nodeexporter-linux;gitlab;;vm14293;gitlab.devops.ics.local;devops;;1
2026-01-13 14:22:28.094;up;hw142151.ics.local:9182;10.20.42.151;windows-exporter-sellout;hw142151-RB-MDT-prod;Windows;hw142151;hw142151.ics.local;sellout;;1
2026-01-13 14:22:28.094;up;hw142152.ics.local:9182;10.20.42.152;windows-exporter-sellout;hw142152-RB-DWH-prod;Windows;hw142152;hw142152.ics.local;sellout;;1
2026-01-13 14:22:28.094;up;hw14250.ics.local:9182;10.20.42.50;windows-exporter-sellout;managed-sql;Windows;hw14250;hw14250.ics.local;sellout;;1
2026-01-13 14:22:28.094;up;hw14253.ics.local:9182;10.20.42.53;windows-exporter-sellout;sellout-master;Windows;hw14253;hw14253.ics.local;sellout;;1
2026-01-13 14:22:28.094;up;jj-dev.mod.ics.local:9182;10.20.42.29;windows-exporter-mod;jj-dev.mod;Windows;vm14228;jj-dev.mod.ics.local;mod;;0
2026-01-13 14:22:28.094;up;jti.sellout.ics.local:9182;10.20.42.74;windows-exporter-sellout;jti.sellout;Windows;vm14273;jti.sellout.ics.local;sellout;;0
2026-01-13 14:22:28.094;up;jtnl.ics.local:9182;10.20.42.30;windows-exporter-jtnl;jtnl.ics;Windows;vm14229;jtnl.ics.local;jtnl;;1
2026-01-13 14:22:28.094;up;jtnl.sellout.ics.local:9182;10.20.42.30;windows-exporter-sellout;jtnl.sellout;Windows;vm14229;jtnl.sellout.ics.local;sellout;;1
2026-01-13 14:22:28.094;up;kimberly-clark.sellout.ics.local:9182;10.20.42.31;windows-exporter-sellout;kimberly-clark.sellout;Windows;vm14230;kimberly-clark.sellout.ics.local;sellout;;1
2026-01-13 14:22:28.094;up;macmini01.ics.local:9100;10.31.42.254;nodeexporter-gramax;macmini01;;macmini01;macmini01.ics.local;gramax;;1
2026-01-13 14:22:28.094;up;managed-sql.devops.ics.local:9182;10.20.42.50;windows-exporter-devops;managed-sql;Windows;hw14250;managed-sql.devops.ics.local;devops;;1
2026-01-13 14:22:28.094;up;managed-sql.devops.ics.local:9182;10.20.42.50;windows-exporter-mod;managed-sql;Windows;hw14250;managed-sql.devops.ics.local;mod;;1
2026-01-13 14:22:28.094;up;master.quiz.ics.local:9182;10.20.42.76;windows-exporter-quiz;master.quiz;Windows;vm14275;master.quiz.ics.local;quiz;;1
2026-01-13 14:22:28.094;up;mgr1.kubernetes01.ics.local:9100;10.20.42.102;devops-nodeexporter-kubernetes01;mgr1.kubernetes01;;vm142101;mgr1.kubernetes01.ics.local;devops;;1
2026-01-13 14:22:28.094;up;mgr2.kubernetes01.ics.local:9100;10.20.42.103;devops-nodeexporter-kubernetes01;mgr2.kubernetes01;;vm142102;mgr2.kubernetes01.ics.local;devops;;1
2026-01-13 14:22:28.094;up;mgr3.kubernetes01.ics.local:9100;10.20.42.103;devops-nodeexporter-kubernetes01;mgr3.kubernetes01;;vm142103;mgr3.kubernetes01.ics.local;devops;;1
2026-01-13 14:22:28.094;up;mondelez.sellout.ics.local:9182;10.20.42.16;windows-exporter-sellout;mondelez.sellout;Windows;vm14215;mondelez.sellout.ics.local;sellout;;1
2026-01-13 14:22:28.094;up;mssql-ci-cd.devops.ics.local:9182;10.20.42.80;windows-exporter-devops;mssql-ci-cd;Windows;vm14279;mssql-ci-cd.devops.ics.local;devops;;1
2026-01-13 14:22:28.094;up;node1.kubernetes01.ics.local:9100;10.20.42.105;devops-nodeexporter-kubernetes01;node1.kubernetes01;;vm142104;node1.kubernetes01.ics.local;devops;;1
2026-01-13 14:22:28.094;up;node10.kubernetes01.ics.local:9100;10.20.42.7;devops-nodeexporter-kubernetes01;node10.kubernetes01;;vm14206;node10.kubernetes01.ics.local;devops;;1
2026-01-13 14:22:28.094;up;node2.kubernetes01.ics.local:9100;10.20.42.105;devops-nodeexporter-kubernetes01;node2.kubernetes01;;vm142105;node2.kubernetes01.ics.local;devops;;1
2026-01-13 14:22:28.094;up;node3.kubernetes01.ics.local:9100;10.20.42.107;devops-nodeexporter-kubernetes01;node3.kubernetes01;;vm142106;node3.kubernetes01.ics.local;devops;;1
2026-01-13 14:22:28.094;up;node4.kubernetes01.ics.local:9100;10.20.42.108;devops-nodeexporter-kubernetes01;node4.kubernetes0;;vm142107;node4.kubernetes01.ics.local;devops;;1
2026-01-13 14:22:28.094;up;node5.kubernetes01.ics.local:9100;10.20.42.109;devops-nodeexporter-kubernetes01;node5.kubernetes01;;vm142108;node5.kubernetes01.ics.local;devops;;1
2026-01-13 14:22:28.094;up;node7.kubernetes01.ics.local:9100;10.20.42.4;devops-nodeexporter-kubernetes01;node7.kubernetes01;;node7.kubernetes01;node7.kubernetes01.ics.local;devops;;1
